#,万象,墨奇,野鹤,自然码,虎码首末,五笔前2,汉心码,首右,首右Plus
湡,氵禺 dy,氵丶 dd, dy,氵禺dy,氵⽱ kv,ij,,氵日 ul,
澦,氵預 dy,氵頁 dy, db,氵預dy,氵頁 kw,ic,,氵乛 uv,
牏,片刂 pd,片刂 pd,片刂 pd,片俞py,片刂 ap,th,,丿人 pr,
稢,禾{一} ha,禾{一} ha,禾{一} ha,禾或hh,禾㇀ xf,ta,,禾一 eh,
穻,宀于 by,宀于 by,宀于 by,穴于xy｜宀于by,穴 en,pw,,宀丨 bs,
罭,罒{一} sa,罒{一} sa,罒{一} sa,罒或sh,罒㇀ yf,la,,丨丶 sd,
艈,舟川 vi,舟𫶧 vi, vv,舟川vi,舟 io,te,,,
諛,言臾 yy,訁人 yr, wy,言臾yy,言人 sj,yv,,讠丿 ap,
鸆,虍鳥 hn,虍鳥 hn,虍鳥 hn,.nw,虍鳥 zx,ha,,丨丿 sp,
㑨,亻矢 ru,亻矢 ru,亻矢 ru,亻矢ru,亻矢 jo,wk,,,
㒁,亻干 rg,亻干 rg,亻干 rg,亻圉ry,亻 jg,wl,,,
㒜,亻八 rb,亻八 rb,亻八 rb,亻與ry,亻 jh,wv,,,
㔱,匚臾 ky,匚人 kr, ky,匚臾ky,匚人 nj,av,,,
㙑,禹土 yt,禹土 yt,禹土 yt,土禹ty,丿土 tg,tk,,,
㚥,女于 ny,女于 ny,女于 ny,女于ny,女 bn,vg,,,
㝢,宀禹 by,宀禹 by,宀禹 by,宀禹by,宀⽱ wv,pt,,,
㝼,尢于 yy,尢于 yy,尢于 yy,.wy,尢 on,dn,,,
㠘,山與 uy,山八 ub, eb,山與uy,山 vh,mv,,,
㠨,. uy,山寸 uc, ec,.uy,山寸 vk,ms,,,
㡰,. gy,广于 gy,竹几 gy,.gy,广 xn,yg,,,
㣃,. gg,弓弓 gg,弓弓 gg,.gg,弓弓 bb,xy,,,
㤤,忄乀 xn,忄乀 xn,忄乀 xn,忄臾xy,忄 hb,nj,,,
㥔,忄⺝ xo,忄⺝ xo,忄⺝ xo,心育xy,忄⺝ hv,ny,,,
㥚,忄臾 xy,忄人 xr,忄臾 xy,忄臾xy,忄人 hj,nv,,,
㥥,. xo,忄丶 xd,忄禺 xy,.xo,忄⽱ hv,nj,,,
㦛,心與 xy,𦥑心 jx, px,心與xy,心 ph,vg,,,
㪀,于攵 yw,于攵 yw,于攵 yw,.wy,一攵 fh,gf,,,
㬂,. oo,日丶 od, oy,.oo,日⽱ ov,jj,,,
㬰,日人 or,由人 yr, un,日人or,曰人 oj,jw,,,
㲾,宀水 bu,宀水 bu, bu,水宀ub,宀水 wk,pi,,,
㳚,氵戍 du,氵丶 dd,氵戍 du,氵戍du,氵丶 ki,id,氵戈 dg,氵一 uh,氵一uh
㳛,氵臾 dy,氵人 dr, dy,氵臾dy,氵人 kj,iv,,,
㶛,氵八 db,氵八 db,氵八 db,氵與dy,氵 kh,iy,,,
㷒,. ho,火丶 hd,火禺 hy,.ho,火⽱ cv,oj,,,
㺞,犭八 qb,犭八 qb,犭八 qb,犭與qy,犭 mh,qt,,,
㺮,𤣩丂 wk,𤣩丂 wk,王亏 wk,.wx,王ㄅ na,gf,,,
㼌,瓜瓜 gg,瓜瓜 gg,瓜瓜 gg,瓜瓜gg,瓜瓜 yy,rc,,,
㼶,𠆢瓦 rw,𠆢瓦 rw,𠆢瓦 rw,瓦俞wy,亼瓦 jr,wg,,,
㽣,田{一} ta,田{一} ta,田{一} ta,田或th,田㇀ qf,la,,,
䁌,目⺝ oo,目⺝ oo, oo,目胃ow,目⺝ qv,hl,,,
䁩,目魚 oy,目魚 oy, oa,目魚oy,目魚 qw,hq,,,
䂊,矛象 mx,矛𧰨 mu, sn,矛象mx,予象 iw,cb,,,
䂛,石予 uy,石予 uy, ul,石予uy,石予 mi,dc,,,
䃋,石刂 ud,石刂 ud,石刂 ud,石俞uy,石刂 mp,dw,,,
䄨,禾于 hy,禾于 hy,禾于 hy,禾于hy,禾 xn,tg,,,
䈅,竹{一} va,竹{一} va,竹{一} va,竹或vh,⺮㇀ rf,ta,,,
䉛,竹大 vd,竹大 vd,竹大 vd,𥫗奥va,⺮大 rm,tt,,,
䋖,糸聿 sy,糹聿 sy, yy,糸聿sy,糹聿 ib,xv,,,
䍂,缶于 fy,缶于 fy,缶于 fy,缶于fy,缶 an,rm,,,
䍞,冂{一} ka,冂{一} ka,𧾷夕 ka,网或wh,冂㇀ mf,mq,,,
䏸,⺼口 ok,⺼口 ok,⺼口 ok,月吾ow,月口 vd,eg,,,
䐳,月魚 oy,⺼魚 oy, oa,月魚oy,月魚 vw,eq,,,
䔡,艹魚 cy,艹魚 cy, ca,艹魚cy,艹魚 lw,aq,,,
䖇,艹彡 cp,艹彡 cp,艹彡 cp,艹鬱cy,艹彡 le,as,,,
䗨,虫魚 iy,虫魚 iy, ia,虫魚iy,虫魚 cw,jq,,,
䘘,行素 xs,彳糸 rx, ii,.xi｜行素xs,行糸 pi,tg,,,
䘱,. wy,衣谷 yg, wy,.wy｜衣谷yg,衣谷 th,uw,,,
䙔,衤口 pk,衤口 pk,衤口 pk,衤區yq,衤口 td,pu,,,
䛕,言臾 yy,訁乀 yn, wn,言臾yy,言 sb,yj,,,
䜽,豆俞 dy,豆刂 dd,金夕 ad,豆俞dy,豆刂 zp,gk,,,
䢓,辶宇 zy,辶于 zy,辶于 zy,辶宇zy,宀辶 wu,pg,,,
䢖,辶聿 zy,辶聿 zy,辶聿 zy,辶聿zy,聿辶 bu,vf,,,
䢩,辶攵 zw,辶攵 zw,辶攵 zw,辶敔zy,五辶 wu,gk,,,
䣁,习⻏ xe,习⻏ xe,习⻏ xe,耳羽ey,羽阝 zt,nb,,,
䥏,金卩 je,金卩 je,金卩 je,金御jy,金卩 zz,qt,,,
䨒,雨习 yx,雨习 yx,雨习 yx,雨羽yy,⻗羽 tz,fn,,,
䨞,雨禹 yy,雨禹 yy,雨禹 yy,雨禹yy,⻗⽱ tv,ft,,,
䩒,革于 gy,革于 gy,革于 gy,革于gy,革 tn,af,,,
䬄,風戌 fx,風{一} fa,几戌 jx,風戌fx,⺇一 of,mt,,,
䮇,馬聿 my,馬聿 my,馬聿 my,馬聿my,馬聿 nb,cv,,,
䮙,馬{一} ma,馬{一} ma,馬{一} ma,馬或mh,馬㇀ nf,ca,,,
䰻,魚攵 yw,魚攵 yw, aw,魚攵yw,魚攵 wh,qo,,,
䱷,虍攵 hw,虍攵 hw,虍攵 hw,虍攵hw｜魚攵yw,虍攵 zh,ha,,,
䲣,虍攵 hw,虍攵 hw,虍攵 hw,.wy,虍攵 zh,ha,,,
䴁,宀鳥 bn,宀鳥 bn,宀鳥 bn,鳥寓ny,宀鳥 wx,pj,,,
䵫,宀灬 bh,宀灬 bh,宀灬 bh,黑宛hw,宀黑 wp,pq,,,
乻,方乙 fv,方乙 fv,方乙 fv,乙於yy,方乙 la,yw,,,
俼,亻⺝ ro,亻⺝ ro,亻⺝ ro,亻育ry,亻⺝ jv,wy,,人丶 rd,
偊,亻禹 ry,亻禹 ry,亻禹 ry,亻禹ry,亻⽱ jv,wt,,人丿 rp,
傴,亻口 rk,亻口 rk,亻口 rk,亻區rq,亻口 jd,wa,,人一 rh,
匬,匚刂 kd,匚刂 kd,匚刂 kd,匚俞ky,匚刂 np,aw,,一乛 hv,
喅,. kl,口立 kl,口立 kl,.kl｜口昱ky,口立 di,kj,,口日 kl,
噳,口{𠃑大} kt,口{���大} kt,口{𠃑大} kt,.kw｜口虞ky,口大 dm,kh,,口丨 ks,
堬,土刂 td,土刂 td,土刂 td,土俞ty,土刂 gp,fw,,土人 tr,
媀,女禺 ny,女丶 nd, ny,女禺ny,女⽱ bv,vj,,女日 nl,
嫗,女口 nk,女口 nk,女口 nk,女區nq,女口 bd,va,,女一 nh,
嬩,女八 nb,女八 nb,女八 nb,女與ny,女 bh,"vv,vw",,女丿 np,
寙,宀瓜 bg,宀瓜 bg,宀瓜 bg,宀瓜bg,宀瓜 wy,pr,,宀丶 bd,
崳,山俞 uy,山刂 ud, ed,山俞uy,山刂 vp,mw,,丨人 sr,
嶎,山尉 uw,山寸 uc,龶女 ec,山尉uw,山寸 vk,mn,,丨丶 sd,
嶼,山與 uy,山八 ub,木刂 eb,山與uy,山 vh,"mv,mw",,丨丿 sp,
庽,广禺 gy,广丶 gd,尸刂 gy,广禺gy,广⽱ xv,yj,,丶丶 dd,
懙,忄八 xb,忄八 xb,忄八 xb,心與xy,忄 hh,"nv,nw",,忄丿 xp,
扵,扌丶 fd,扌⺀ fd,亻口 fd,扌丶fd,扌⺀ uw,rw,,扌人 fr,
挧,扌习 fx,扌习 fx,亠土 fx,扌羽fy,扌羽 uz,rn,,扌乛 fv,
斔,文臾 wy,文人 wr,文臾 wy,文臾wy｜.yw,文人 vj,yj,,丶丿 dp,
斞,斗臾 dy,𦥑斗 jd, yu,斗臾dy,臼斗 pj,vw,,丿丶 pd,
棜,木丶 md,木⺀ md, md,木於my,木⺀ ew,sy,,木丶 md,
楀,木禹 my,木禹 my,木禹 my,木禹my,木⽱ ev,st,,木丿 mp,
楰,木臾 my,木人 mr,木臾 my,木臾my,木人 ej,sv,,木丿 mp,
櫲,木豫 my,木𧰨 mu, mn,木豫my,木象 ew,sc,,木乛 mv,
欎,木寸 mc,木寸 mc,木寸 mc,木寸mc,木寸 ek,sq,,木丶 md,
欝,木寸 mc,木寸 mc,木寸 mc,木寸mc,木寸 ek,sq,,木丶 md,
歈,欠俞 qy,𠆢欠 rq, rr,欠俞qy,亼欠 je,wg,,人丿 rp,
歶,. vy,止丶 vd, vy,.vy｜.yc,⽱ sv,hx,,丨丶 sd,
琙,𤣩{一} wa,𤣩{一} wa,𤣩{一} wa,王或wh,王㇀ nf,ga,,王一 wh,
琟,王隹 wv,𤣩{隹右} wv,王龶 wf,王隹wv,王隹 nu,gw,𤣩一 wa,王人 wr,王人wr
瘉,疒刂 bd,疒刂 bd,疒刂 bd,疒俞by,疒刂 ap,uw,,丶丨 ds,
睮,目刂 od,目刂 od,目刂 od,目俞oy,目刂 qp,hw,,丨人 sr,
砡,石玉 uy,石玉 uy,尸刂 uy,石玉uy,石丶 mi,dg,,一王 hw,
硢,石余 uy,石朩 um, uh,石余uy,石 mx,dw,,一人 hr,
硲,石谷 ug,石谷 ug, uk,石谷ug,石谷 mh,dw,,一丿 hp,
礇,石大 ud,石大 ud,石大 ud,石奥ua,石大 mm,dt,,一丿 hp,
礖,石八 ub,石八 ub,石八 ub,石與uy,石 mh,"dv,dw",,一丿 hp,
秗,禾夭 hy,禾夭 hy,禾夭 hy,禾夭hy,禾大 xm,tt,,禾丿 ep,
稶,禾{一} ha,禾{一} ha,禾{一} ha,.hp｜禾彧hy,禾彡 xe,"ta,tg",,禾一 eh,
穥,禾八 hb,禾八 hb,禾八 hb,禾與hy,禾 xh,"tv,tw",,禾丿 ep,
篽,竹卩 ve,竹卩 ve,竹卩 ve,竹御vy,⺮卩 rz,tt,,⺮丨 gs,
籅,竹八 vb,竹八 vb,竹八 vb,竹與vy,⺮ rh,"tv,tw",,⺮丶 gd,
籞,竹示 vu,竹示 vu,艹刀 vx,竹示vu｜.vy,⺮示 rf,tt,,⺮丶 gd,
粖,米末 mm,米末 mw,米末 mm,米末mm,米木 pe,og,,丶一 dh,
紆,糸于 sy,糹于 sy, yy,糸于sy,糹 in,xg,,纟一 ih,
羭,羊刂 yd,羊刂 yd,羊刂 yd,羊俞yy,⺶刂 gp,ud,,丶人 dr,
肀, yv,⺕丨 el, vl,乛丨vu,肀 bv,vh,乛丨 va,乛丨 vs,乛丨vs
茰,艹乀 cn,艹乀 cn,艹乀 cn,艹{更}cg,艹 lb,aj,,艹丶 cd,
萭,艹禹 cy,艹禹 cy,艹禹 cy,艹禹cy,艹⽱ lv,at,,艹丶 cd,
萮,艹刂 cd,艹刂 cd,艹刂 cd,艹俞cy,艹刂 lp,aw,,艹丨 cs,
蒮,艹隹 cv,艹{隹右} cv, cf,艹隹cv,艹隹 lu,ap,,艹土 ct,
蓹,艹卩 ce,艹卩 ce,艹卩 ce,艹御cy,艹卩 lz,at,,艹丨 cs,
蕍,艹刂 cd,艹刂 cd,艹刂 cd,艹渝cy,艹刂 lp,ai,,艹丨 cs,
蕷,艹預 cy,艹頁 cy,艹貝 cb,艹預cy,艹頁 lw,ac,,艹丶 cd,
蘌,艹示 cu,艹示 cu, cx,艹示cu｜艹禦cy,艹示 lf,at,,艹丶 cd,
蘛,艹⺝ co,艹⺝ co,艹⺝ co,艹育cy,艹⺝ lv,aa,,艹月 cy,
虶,虫于 iy,虫于 iy,虫于 iy,虫于iy,虫 cn,jg,,虫一 oh,
蜟,虫⺝ io,虫⺝ io,虫⺝ io,虫育iy,虫⺝ cv,jy,,虫丶 od,
螸,虫欲 iy,谷虫 gi, bi,虫欲iy,谷虫 hc,ww,,丿虫 po,
衧,衤于 py,衤于 py,衤于 py,衤于yy,衤 tn,pu,,丶一 dh,
袬,亠{衣} wy,衣口 yk, wy,亠{衣}wy｜衣口yk｜衣台yt,衣口 td,yc,,丶丶 dd,
覦,見俞 jy,𠆢見 rj, re,見俞jy,亼見 je,wg,,人丨 rs,
謣,言亏 yk,訁丂 yk,亠土 wk,言亏yk｜言雩yy,言ㄅ sa,yf,,讠一 ah,
軉,身寶 ub,身貝 ub,身貝 ub,身寶ub,身貝 zo,tm,,丿宀 pb,
逳,辶⺝ zo,辶⺝ zo,辶⺝ zo,辶育zy,辶 bu,yc,,丶辶 dz,
酑,酉于 yy,酉于 yy,一于 yy,酉于yy,酉 yn,sg,,一一 hh,
醧,酉口 yk,酉口 yk,酉口 yk,酉區yq,酉口 yd,sg,,一一 hh,
陓,耳夸 ek,⻖丂 ek,⻖丂 ek,耳夸ek,阝ㄅ ta,bd,,乛一 vh,
雓,隹余 vy,𠆢{隹右} rv, rf,隹余vy,人隹 ju,wt,,人人 rr,
霱,. yk,雨口 yk,雨口 yk,.yk｜雨矞yy,⻗口 td,fc,,一口 hk,
頨,頁羽 yy,习頁 xy,习貝 xb,頁羽yy,羽頁 zw,nd,,乛一 vh,
饇,食區 uq,飠口 uk, rk,食區uq,飠口 qd,"wp,wy",,人一 rh,
骬,骨于 gy,冎于 gy,冎于 gy,骨于gy,骨 fn,me,,丨一 sh,
魊,鬼{一} ga,鬼{一} ga,鬼{一} ga,鬼或gh,鬼㇀ af,rq,,丿一 ph,
魣,魚予 yy,魚予 yy, al,魚予yy,魚予 wi,qo,,丿乛 pv,
鮽,魚余 yy,魚朩 ym, ah,魚余yy,魚 wx,qo,,丿人 pr,
鯲,魚於 yy,魚⺀ yd, ad,魚於yy,魚⺀ ww,qo,,丿丶 pd,
鱊,魚口 yk,魚口 yk, ak,魚口yk｜魚矞yy,魚口 wd,qo,,丿乛 pv,
鳿,王鳥 wn,𤣩鳥 wn,王鳥 wn,鳥王nw｜王鳥wn,王鳥 nx,gw,,王丿 wp,
鴧,宀鳥 bn,宀鳥 bn,宀鳥 bn,鳥几nj,宀鳥 wx,pm,,宀丿 bp,
鴪,宀鳥 bn,宀鳥 bn,宀鳥 bn,鳥穴nx,穴鳥 ex,pw,,宀丿 bp,
鵒,鳥谷 ng,谷鳥 gn, bn,鳥谷ng,谷鳥 hx,ww,,丿丿 pp,
鷠,魚鳥 yn,魚鳥 yn, an,鳥魚ny｜魚鳥yn,魚鳥 wx,qo,,丿丿 pp,
鷸,鳥矞 ny,矛鳥 mn, sn,鳥口nk｜鳥矞ny,予鳥 ix,cb,,乛丿 vp,
鸒,𦥑鳥 jn,𦥑鳥 jn, pn,𦥑鳥jn｜鳥與ny,鳥 px,"vg,wf",,丿丶 pd,
麌,鹿吴 lw,鹿{𠃑大} lt, gt,鹿吴lw,鹿大 xm,yn,,丶丶 dd,
𠀛,一冂 ak,一内 an, ad,一冂ak,二人 mj,fm,,,
𠋟,亻臾 ry,亻人 rr,亻臾 ry,亻臾ry,亻人 jj,wv,,,
𠎳,余余 yy,𠆢朩 rm, rh,余余yy,人 jx,wt,,,
𠏚,亻心 rx,亻心 rx,亻心 rx,亻愈ry,亻心 jh,ww,,,
𠕦,冂俞 ky,⺜刂 od, kd,.my｜冂俞ky,⺜刂 op,jw,,,
𠧇,卓舁 vy,⺊廾 bc, lc,卓舁vy,⺊廾 yl,hj,,,
𠫣,厶内 sn,厶内 sn,厶内 sn,厶内sn,厶人 kj,cm,,,
𠱐,口吴 kw,口八 kb, kn,.kk｜口吴kw,口大 dm,kk,,,
𠸹,󰃏󰂇󰃏󰁤 ka,口{一} ka,口{一} ka,口彧ky,口彡 de,ka,,,
𠽵,口豆 kd,口䒑 kb, ka,.kw｜口豆kd,口豆 dz,kq,,,
𡁎,口八 kb,口八 kb,口八 kb,口與ky,口 dh,kw,,,
𡂊,口水 ku,口水 ku,口水 ku,口淼km,口水 dk,kw,,,
𡇺,. kh,囗灬 kh,囗灬 kh,.kh,囗灬 rc,lc,,,
𡈨,囗口 kk,囗口 kk,囗口 kk,.kj,囗口 rd,lk,,,
𡋬,㇉土 vt,㇉土 vt, at,,一土 fg,gn,,,
𡑾,土{𠃑大} tt,土{𠃑大} tt,土{𠃑大} tt,土虞ty,土大 gm,fh,,,
𡒊,與土 yt,𦥑土 jt, pt,土與ty｜與土yt,土 pg,wf,,,
𡔴,士月 uo,士⺝ to, uo,士月uo,士⺝ gv,fp,,,
𡨣,宀又 by,宀又 by,宀又 by,宀攴bp,宀攴 wh,pt,,,
𡨿,宀火 bh,宀火 bh,宀火 bh,宀火bh,宀火 wc,pt,,,
𡬊,宀夭 by,宀夭 by,宀夭 by,宀夭by,宀大 wm,pn,,,
𡬞,⺄寸 vc,⺄寸 vc,⺄寸 vc,,⺄寸 ak,nn,,,
𡷎,山宇 uy,山于 uy, ey,山宇uy,山 vn,mp,,,
𡻢,山圉 uy,山干 ug, eg,山圉uy,山 vg,ml,,,
𡿥,山鬱 uy,山彡 up, ep,山鬱uy,山彡 ve,ms,,,
𡿯,曰巛 ov,曰巛 ov,曰巛 ov,.io,日巛 oo,jv,,,
𢊧,广魚 gy,广魚 gy,口夂 ga,广魚gy,广魚 xw,yq,,,
𢋅,广欠 gq,广欠 gq, gr,.gy｜广欠gq,广欠 xe,yw,,,
𢌻,土廾 tc,土廾 tc,口土 tc,廾儿ce｜土廾tc,土廾 gl,fq,,,
𢎻,弓予 gy,弓予 gy,女土 gl,弓予gy,弓予 bi,xc,,,
𢒰,𠂇{一} ua,𠂇{一} ua,日永 ua,有彧yy,𠂇彡 ne,de,,,
𢔢,彳俞 xy,彳刂 rd,氵鬼 id,彳俞xy,彳刂 wp,tw,,,
𢔥,彳胃 xw,彳⺝ ro,氵皿 io,彳胃xw,彳⺼ wv,tl,,,
𢔬,彳亍 xi,彳儿 re,石人 ii,彳亍xi,行儿 pp,tt,,,
𢔴,彳郚 xw,彳⻏ re, ie,彳郚xw,彳阝 wt,tg,,,
𢖡,行廾 xc,彳廾 rc,金乂 ii,行廾xc,行廾 pl,tf,,,
𢛨,忄⺀ xd,忄⺀ xd, xd,忄於xy,忄⺀ hw,ny,,,
𢡎,心遇 xy,忄丶 xd,㐅⻏ xz,心遇xy,忄辶 hu,nj,,,
𢮁,扌⺀ fd,扌⺀ fd, fd,扌於fy,扌⺀ uw,ry,,,
𢯮,扌⺝ fo,扌⺝ fo,龶馬 fo,扌胃fw,扌⺼ uv,rl,,,
𢹏,輿手 yu,𦥑手 ju,龶鳥 pu,手輿uy｜輿手yu,手 pu,wf,,,
𢺴,扌彡 fp,扌彡 fp, fp,扌鬱fy,扌彡 ue,rs,,,
𢾄,𠆢攵 rw,𠆢攵 rw,土攵 rw,.wy｜俞攵yw,亼攵 jh,wg,,,
𣋉,日大 od,日大 od,丿土 od,日奥oa,日大 om,jt,,,
𣍛,更車 gi,更車 gi,巾夭 gi,.gy｜更車gi｜.oy,一車 fy,gj,,,
𣕃,木禺 my,木丶 md,木禺 my,.mo｜木禺my,木⽱ ev,sj,,,
𣝑,與木 ym,𦥑木 jm,口土 pm,木與my｜與木ym,木 pe,wf,,,
𣟰,木輿 my,𦥑木 jm, pm,木輿my,木 pe,wf,,,
𣡉,又大 yd,又大 yd,扌攵 yd,桑奥sa,又大 rm,cc,,,
𣢒,欠少 qu,少欠 uq,龶日 ur,欠少qu,𡭔欠 ye,it,,,
𣢦,立欠 lq,立欠 lq,氵攵 lr,欠立ql｜立欠lq,立欠 ie,uq,,,
𣣎,育欠 yq,亠欠 wq, wr,欠育qy｜育欠yq,欠 be,yc,,,
𣨝,歹⺀ dd,歹⺀ dd,火匕 dd,歹於dy,歹 gf,gq,,,
𣩺,歹匕 db,𦥑匕 jb,疒大 pb,歹匕db, pv,wf,,,
𤀝,氵阝 de,氵⻏ de,龶皿 de,.se｜氵阝de,氵阝 kt,ig,,,
𤗃,片甫 pf,片甫 pf,片甫 pf,片甫pf,片甫 an,th,,,
𤚎,牜刂 nd,牜刂 nd,牛刂 nd,牛俞ny,牜刂 qp,tr,,,
𤜹,犬欠 qq,犬欠 qq,龶舟 qr,犬欠qq,犬欠 me,dq,,,
𤞞,犭谷 qg,犭谷 qg, qk,犭谷qg,犭谷 mh,qt,,,
𤥽,𤣩⺀ wd,𤣩⺀ wd,艹灬 wd,王於wy,王⺀ nw,gy,,,
𤧙,王臾 wy,𤣩人 wr,王臾 wy,王臾wy,王人 nj,gv,,,
𤳕,弓田 gt,弓田 gt,弓田 gt,田粥tv｜粥田vt,弓田 bq,xo,,,
𤸒,疒禺 by,疒丶 bd,面力 by,.bo｜疒禺by,疒⽱ av,uj,,,
𤹪,疒口 bk,疒口 bk, bk,疒區bq,疒口 ad,ua,,,
𥆉,. oy,目又 oy, oy,.oy｜目殳ou,目又 qr,hw,,,
𥎐,矞出 yi,矛出 mi, si,.ji｜矞出yi,予凵 im,cb,,,
𥒾,石口 uk,石口 uk,日永 uk,石吾uw,石口 md,dg,,,
𥔢,石臾 uy,石人 ur, uy,石臾uy,石人 mj,dv,,,
𥘄,石彡 up,石彡 up,艹馬 up,石鬱uy,石彡 me,ds,,,
𥙿,示谷 ug,示谷 ug,亠馬 pk,示谷ug,礻谷 fh,py,,,
𥛩,示庾 uy,示人 ur, py,示庾uy,礻人 fj,py,,,
𥝨,禾丶 hd,禾⺀ hd, hd,.hb｜禾丶hd,禾⺀ xw,tw,,,
𥯮,𥫗臾 vy,竹人 vr, vy,𥫗臾vy,⺮人 rj,tv,,,
𥷔,竹八 vb,竹八 vb,艹鳥 vb,竹輿vy,⺮ rh,tw,,,
𥷞,𥫗八 vb,竹八 vb, vb,𥫗八vb,⺮ rh,tm,,,
𥸤,籥頁 yy,竹頁 vy,亻白 vb,籥頁yy,⺮頁 rw,tw,,,
𥸪,米人 mr,米人 mr,米人 mr,米人mr,米人 pj,ow,,,
𥹔,. mb,米又 my,覀月 md,.mb,米丶 pi,od,,,
𥺞,米⺝ mo,米⺝ mo, mo,米育my,米⺝ pv,oy,,,
𦀡,糸吾 sw,糹口 sk,罒匕 yk,糸吾sw,糹口 id,xg,,,
𦈣,. fy,缶丂 fk, fv,.fx｜.fy,缶ㄅ aa,rm,,,
𦈸,缶{一} fa,缶{一} fa,丶丿 fa,缶或fh,缶㇀ af,rm,,,
𦋢,冂刂 kd,冂刂 kd,金巴 kd,冂俞ky,冂刂 mp,mc,,,
𦋯,罒瓜 sg,罒瓜 sg,口子 sg,.sy｜罒瓜sg,罒瓜 yy,lr,,,
𦎘,羊{一} ya,羊{一} ya, ya,羊或yh,⺶㇀ gf,ud,,,
𦏜,與羊 yy,𦥑羊 jy, py,與羊yy,羊 pg,wf,,,
���,习丂 xk,习丂 xk,习亏 xk,.yx｜羽亏yk,,nf,,,
𦒑,羽矞 yy,矛习 mx,亻八 sx,.yj｜羽矞yy,予羽 iz,cb,,,
𦡭,. rj,𦥑肉 jr,弓巴 pr,.rj,人 pj,wf,,,
𦥉,宀口 bk,宀口 bk,豕巴 bk,室吾uw,宀口 wd,pg,,,
𦦩,𦥑㔾 jv,𦥑㔾 jv, pv,,⺋ pz,wf,,,
𦦫,𠂆八 pb,𦥑丂 jk,土月 pb,𠂆八pb, ph,wf,,,
𦦲,臼八 jb,𦥑八 jb, pb,臼八jb｜𠂆八pb, ph,wf,,,
𦩞,舟刂 vd,舟刂 vd, vd,舟俞vy,舟刂 ip,te,,,
𦭳,艹习 cx,艹习 cx,艹习 cx,艹羽cy,⺿羽 lz,an,,,
𦱀,艹⺝ co,艹⺝ co,土貝 co,艹育cy,⺿⺝ lv,ay,,,
𦱂,艹{一} ca,艹{一} ca,石人 ca,艹或ch,⺿㇀ lf,aa,,,
𦱃,艹皿 cm,艹皿 cm,艹皿 cm,艹盂cy,⺿皿 la,ag,,,
𦳅,艹乀 cn,艹乀 cn, cn,艹臾cy,⺿ lb,ay,,,
𧃠,艹⺝ co,艹⺝ co, co,艹青cq,艹⺝ lv,aa,,,
𧈯,虫㇉ iv,虫㇉ iv,尸巴 iv,.ix｜.iy,虫ㄅ ca,jf,,,
𧉣,虫玉 iy,虫玉 iy, iy,虫玉iy,虫丶 ci,jg,,,
𧍪,虫禺 iy,虫丶 id,氵月 iy,.io｜虫禺iy,虫⽱ cv,jj,,,
𧐄,虫欲 iy,虫欠 iq,石月 ir,虫欲iy,虫欠 ce,jw,,,
𧑐,虫口 ik,虫口 ik,禾匕 ik,.ij｜虫矞iy,虫口 cd,jc,,,
𧙶,宀衣 by,宀衣 by,立十 by,衣宇yy,宀衣 wt,pg,,,
𧞏,衤八 pb,衤八 pb, pb,衤與yy,衤 th,pu,,,
𧫊,言彧 yy,𢦑口 gk,耒匕 ak,言彧yy,弋言 ps,ar,,,
𧰇,吉臾 jy,士人 tr,𧾷又 uy,.vy｜豆臾dy｜吉臾jy,壴人 hj,fk,,,
𧱬,豕刂 ud,豕刂 ud,金匕 ud,豕俞uy,豕刂 jp,ew,,,
𧶠,士貝 ub,士貝 tb,革月 ub,.bu｜士貝ub｜貝四bs,士貝 go,fl,,,
𧼫,土⺝ to,土⺝ to,革馬 to,走胃zw,走⺼ pv,fh,,,
𧾚,土八 tb,土八 tb,土八 tb,走與zy,走 ph,fh,,,
𧿷,足玉 zy,𧾷玉 zy, zy,足玉zy,⻊丶 pi,kh,,,
𨄯,尉足 wz,尸足 uz, ur,足尉zw｜尉足wz,尸足 cp,nf,,,
𨊱,車于 iy,車于 iy,𠂇鳥 iy,車于iy,車 yn,lg,,,
𨖛,辶于 zy,辶于 zy,金乂 zy,辶于zy,⻗辶 tu,fg,,,
𨜖,禺阝 ye,田⻏ te,口刂 ye,.ey｜禺阝ye,田阝 qt,jm,,,
𨝈,亻阝 re,亻⻏ re,大巴 re,亻阝re,亻阝 jt,wf,,,
𨞓,丿⻏ pe,丿⻏ pe,木月 pe,.ea｜奥阝ae,丿阝 tt,tm,,,
𨨶,金卩 je,金卩 je,𤣩八 je,金卸jx,金卩 zz,qr,,,
𨩬,金大 jd,金大 jd,矢匕 jd,金大jd,金大 zm,qt,,,
𨪎,金{一} ja,金{一} ja, ja,金彧jy,金彡 ze,qa,,,
𨮔,金八 jb,金八 jb,金八 jb,金與jy,金 zh,qw,,,
𨰸,金韭 jj,金韭 jj,金韭 jj,.ji｜金韭jj,金一 zf,qy,,,
���,門干 mg,門干 mg,門干 mg,門幸mx,,uf,,,
𨵦,門刂 md,門刂 md,門刂 md,門俞my,門刂 ap,uw,,,
𨶢,門魚 my,門魚 my,㐅⻏ ma,門魚my,門魚 aw,uq,,,
𨾌,于隹 yv,于{隹右} yv, yf,隹于vy｜于隹yv,一隹 fu,gf,,,
